weekday;item;type;factor;grocery_list;menu_list
Saturday;Black bean burger;recipe;1;Y;Y
Saturday;pkg fries;ingredient;0.7;Y;Y
Sunday_morning;Berry muffins;recipe;1;Y;Y
Sunday;Grilled tuna with herbed aioli;recipe;1;Y;Y
Sunday;Patatas bravas;recipe;0.75;Y;Y
Sunday;pkg frozen broccoli;ingredient;1;Y;Y
Sunday;tbsp garlic butter;ingredient;2;Y;Y
Monday;Szechuan beef;recipe;1;Y;Y
Monday;Chinese green beans;recipe;1;Y;Y
Monday;cup rice;ingredient;1;Y;Y
Thursday;Thronebreaker sauce;recipe;2;Y;Y
Thursday;pkg noodles;ingredient;0.7;Y;Y
Thursday;side salad;ingredient;1;N;Y
Thursday;cup salad;ingredient;1;Y;N
