weekday;item;type;factor;grocery_list;menu_list
Saturday;Mac & cheese;recipe;0.5;Y;Y
Saturday;Maple walnut brussel sprouts;recipe;1;Y;Y
Sunday_morning;Scrambled chickpea & spinach pitas;recipe;1;Y;Y
Sunday;Stuffed chicken breasts;recipe;2;Y;Y
Sunday;Warm zucchini salad;recipe;1;Y;Y
Sunday;cup pasta;ingredient;1;Y;Y
Monday;Huevos rancheros;recipe;2;Y;Y
Thursday;Spaghetti with lentils;recipe;1;Y;Y
