weekday;item;type;factor;grocery_list;menu_list
Saturday;Spaghetti (Bridgeman-style);recipe;1;Y;Y
Saturday;side salad;ingredient;1;N;Y
Saturday;cup salad;ingredient;1;Y;Y
Sunday_morning;Crepes of Eros;recipe;0.5;Y;Y
Sunday;Soup of the Shire;recipe;1;Y;Y
Monday;Chicken tinga tacos;recipe;1;Y;Y
Thursday;Creole shrimp;recipe;1;Y;Y
Thursday;Delicious breakfast potatoes;recipe;1;Y;Y
Thursday;cup frozen peas;ingredient;1;Y;Y
