weekday,item,type,factor,grocery_list,menu_list
Saturday,Tomato & butter bean dip,recipe,2,Y,Y
Saturday,Spicy baked feta,recipe,1,Y,Y
Saturday,Patatas brava,recipe,1,Y,Y
Saturday,g prepared tapas meat,ingredient,80,Y,Y
Sunday_morning,Baked eggs with chorizo & hash browns,recipe,1,Y,Y
Sunday,Shehrazades wonder bowl,recipe,1,Y,Y
Sunday,Warm zucchini salad,recipe,2,Y,Y
Monday,Shakshuka,1,recipe,Y,Y
Monday,cup rice,ingredient,1,Y,Y
Thursday,Pink treasure of the water,recipe,1,Y,Y
Thursday,Pink treasure of the land,recipe,1,Y,Y
Thursday,cup rice,ingredient,1,Y,Y
