weekday;item;type;factor;grocery_list;menu_list
Saturday;Sesame chicken bowls;recipe;2;Y;Y
Sunday_morning;Berry crepes;recipe;1;Y;Y
Sunday;French onion soup;recipe;1;Y;Y
Sunday;Croque-madame;recipe;1;Y;Y
Monday;Tomato Risotto;recipe;1;Y;Y
Monday;marinated chicken breasts;ingredient;2;Y;Y
Monday;side salad;ingredient;1;Y;Y
Thursday;White bean caprese salad;recipe;1;Y;Y
