Item;Weight/Volume;Calories(kcal);Carbs(g);Fat(g);Protein(g);Sodium(mg);Sugar(g)
Brown Rice (cooked);0.5 cup;75;16;1;2;0;0
Quinoa (cooked);0.5 cup;111;20;2;4;7;0
Buckwheat (cooked);0.5 cup;77;17;1;3;126;1
Penne (uncooked);50 g;179;37;1;5;0;0
Buckwheat ramen;50 g;156;30;1;7;0;1
Millet (cooked);0.5 cup;104;21;1;3;2;0
Potato;50 g;55;13;0;2;5;1
Sweet potato;50 g;43;10;0;1;28;2
