Food;Measure;Calories;Gm Wt;Calories 100gm;Measure 2;Calories in Measure 2;Gm Wt 2
Quinoa, uncooked;1 cup;626;170;368;;;
Rice bran, crude;1 cup;373;118;316;;;
Rice flour, brown;1 cup;574;158;363;;;
Rice flour, white, unenriched;1 cup;578;158;366;;;
Rice noodles, cooked;1 cup;190;176;108;;;
Rice noodles, dry;2 oz;207;57;364;;;
Rice, brown, long-grain, cooked;1 cup;248;202;123;;;
Rice, brown, long-grain, raw;1 cup;679;185;367;;;
Rice, brown, medium-grain, cooked;1 cup;218;195;112;;;
Rice, brown, medium-grain, raw;1 cup;688;190;362;;;
Rice, brown, parboiled, cooked, UNCLE BENS;1 cup;228;155;147;;;
Rice, brown, parboiled, dry, UNCLE BEN'S;.25 cup;178;48;370;;;
Rice, white, glutinous, unenriched, cooked;1 cup;169;174;97;;;
Rice, white, glutinous, unenriched, uncooked;1 cup;685;185;370;;;
Rice, white, long-grain, parboiled, enriched, cooked;1 cup;194;158;123;;;
Rice, white, long-grain, parboiled, enriched, dry;1 cup;692;185;374;;;
Rice, white, long-grain, parboiled, unenriched, cooked;1 cup;194;158;123;;;
Rice, white, long-grain, parboiled, unenriched, dry;1 cup;692;185;374;;;
Rice, white, long-grain, precooked or instant, enriched, dry;1 cup;361;95;380;;;
Rice, white, long-grain, precooked or instant, enriched, prepared;1 cup;205;165;124;;;
Rice, white, long-grain, regular, cooked, enriched, with salt;1 cup;205;158;130;;;
Rice, white, long-grain, regular, cooked, unenriched, with salt;1 cup;205;158;130;;;
Rice, white, long-grain, regular, enriched, cooked;1 cup;205;158;130;;;
Rice, white, long-grain, regular, raw, enriched;1 cup;675;185;365;;;
Rice, white, long-grain, regular, raw, unenriched;1 cup;675;185;365;;;
Rice, white, long-grain, regular, unenriched, cooked without salt;1 cup;205;158;130;;;
Rice, white, medium-grain, cooked, unenriched;1 cup;242;186;130;;;
Rice, white, medium-grain, enriched, cooked;1 cup;242;186;130;;;
Rice, white, medium-grain, raw, enriched;1 cup;702;195;360;;;
Rice, white, medium-grain, raw, unenriched;1 cup;702;195;360;;;
Rice, white, short-grain, cooked, unenriched;1 cup;267;205;130;;;
Rice, white, short-grain, enriched, cooked;1 cup;242;186;130;;;
Rice, white, short-grain, enriched, uncooked;1 cup;716;200;358;;;
Rice, white, short-grain, raw, unenriched;1 cup;716;200;358;;;
Rice, white, steamed, Chinese restaurant;1 cup, loosely packed;199;132;151;;;
Rye flour, dark;1 cup;416;128;325;;;
Rye flour, light;1 cup;364;102;357;;;
Rye flour, medium;1 cup;356;102;349;;;
Rye grain;1 cup;571;169;338;;;
Semolina, enriched;1 cup;601;167;360;;;
Semolina, unenriched;1 cup;601;167;360;;;
Sorghum flour, refined, unenriched;1 cup;575;161;357;;;
Sorghum flour, whole-grain;1 cup;434;121;359;;;
Sorghum grain;1 cup;632;192;329;;;
Spaghetti, protein-fortified, cooked, enriched (n x 6.25);1 cup;230;140;164;;;
Spaghetti, protein-fortified, dry, enriched (n x 6.25);2 oz;213;57;374;;;
Spaghetti, spinach, cooked;1 cup;182;140;130;;;
Spaghetti, spinach, dry;2 oz;212;57;372;;;
Spelt, cooked;1 cup;246;194;127;;;
Spelt, uncooked;1 cup;588;174;338;;;
Tapioca, pearl, dry;1 cup;544;152;358;;;
Teff, cooked;1 cup;255;252;101;;;
Teff, uncooked;1 cup;708;193;367;;;
Triticale;1 cup;645;192;336;;;
Triticale flour, whole-grain;1 cup;439;130;338;;;
Vital wheat gluten;;;;370;;;
Wheat bran, crude;1 cup;125;58;216;;;
Wheat flour, white (industrial), 10% protein, bleached, enriched;;;;366;;;
Wheat flour, white (industrial), 10% protein, bleached, unenriched;;;;366;;;
Wheat flour, white (industrial), 10% protein, unbleached, enriched;;;;366;;;
Wheat flour, white (industrial), 11.5% protein, bleached, enriched;;;;363;;;
Wheat flour, white (industrial), 11.5% protein, bleached, unenriched;;;;363;;;
Wheat flour, white (industrial), 11.5% protein, unbleached, enriched;;;;363;;;
Wheat flour, white (industrial), 13% protein, bleached, enriched;;;;362;;;
Wheat flour, white (industrial), 13% protein, bleached, unenriched;;;;362;;;
Wheat flour, white (industrial), 15% protein, bleached, enriched;;;;362;;;
Wheat flour, white (industrial), 15% protein, bleached, unenriched;;;;362;;;
Wheat flour, white (industrial), 9% protein, bleached, enriched;;;;367;;;
Wheat flour, white (industrial), 9% protein, bleached, unenriched;;;;367;;;
Wheat flour, white, all-purpose, enriched, bleached;1 cup;455;125;364;;;
Wheat flour, white, all-purpose, enriched, calcium-fortified;1 cup;455;125;364;;;
Wheat flour, white, all-purpose, enriched, unbleached;1 cup;455;125;364;;;
Wheat flour, white, all-purpose, self-rising, enriched;1 cup;443;125;354;;;
Wheat flour, white, all-purpose, unenriched;1 cup;455;125;364;;;
Wheat flour, white, bread, enriched;1 cup;495;137;361;;;
Wheat flour, white, cake, enriched;1 cup, unsifted, dipped;496;137;362;;;
Wheat flour, white, tortilla mix, enriched;1 cup;450;111;405;;;
Wheat flour, whole-grain;1 cup;408;120;340;;;
Wheat flour, whole-grain, soft wheat;;;;332;;;
Wheat flours, bread, unenriched;1 cup, unsifted, dipped;495;137;361;;;
Wheat germ, crude;1 cup;414;115;360;;;
Wheat, durum;1 cup;651;192;339;;;
Wheat, hard red spring;1 cup;632;192;329;;;
Wheat, hard red winter;1 cup;628;192;327;;;
Wheat, hard white;1 cup;657;192;342;;;
Wheat, KAMUT khorasan, cooked;1 cup;227;172;132;;;
Wheat, KAMUT khorasan, uncooked;1 cup;627;186;337;;;
Wheat, soft red winter;1 cup;556;168;331;;;
Wheat, soft white;1 cup;571;168;340;;;
Wheat, sprouted;1 cup;214;108;198;;;
Wild rice, cooked;1 cup;166;164;101;;;
Wild rice, raw;1 cup;571;160;357;;;
